step,tag,value
0,train_loss,1.3484240770339966
0,train_auc,0.8908175230026245
0,train_accuracy,0.5240812301635742
0,val_loss,1.3507285118103027
0,val_auc,0.8907092809677124
0,val_accuracy,0.5183823704719543
1,train_loss,0.9735211133956909
1,train_auc,0.942427933216095
1,train_accuracy,0.6721251010894775
1,val_loss,0.9766011238098145
1,val_auc,0.9422210454940796
1,val_accuracy,0.6706216335296631
2,train_loss,0.8951405882835388
2,train_auc,0.9527922868728638
2,train_accuracy,0.7043197751045227
2,val_loss,0.8959515690803528
2,val_auc,0.952730655670166
2,val_accuracy,0.7070521116256714
3,train_loss,0.841153085231781
3,train_auc,0.958255410194397
3,train_accuracy,0.7241219878196716
3,val_loss,0.8490987420082092
3,val_auc,0.9574369192123413
3,val_accuracy,0.7207553386688232
4,train_loss,0.8432165384292603
4,train_auc,0.9605651497840881
4,train_accuracy,0.7317168116569519
4,val_loss,0.849071741104126
4,val_auc,0.9598820805549622
4,val_accuracy,0.731951892375946
5,train_loss,0.7677780985832214
5,train_auc,0.9651225805282593
5,train_accuracy,0.7491293549537659
5,val_loss,0.7734536528587341
5,val_auc,0.9646545648574829
5,val_accuracy,0.7491644620895386
6,train_loss,0.7731449604034424
6,train_auc,0.9662094712257385
6,train_accuracy,0.7457579970359802
6,val_loss,0.7781655788421631
6,val_auc,0.9659013748168945
6,val_accuracy,0.7409759163856506
7,train_loss,0.7414224147796631
7,train_auc,0.9673144221305847
7,train_accuracy,0.764485776424408
7,val_loss,0.7499255537986755
7,val_auc,0.9668759703636169
7,val_accuracy,0.7596924901008606
8,train_loss,0.7486822605133057
8,train_auc,0.9678027033805847
8,train_accuracy,0.7559647560119629
8,val_loss,0.7617784142494202
8,val_auc,0.9668952226638794
8,val_accuracy,0.7503342032432556
9,train_loss,0.732574462890625
9,train_auc,0.9687987565994263
9,train_accuracy,0.7642819881439209
9,val_loss,0.7370650172233582
9,val_auc,0.9683395028114319
9,val_accuracy,0.7591911554336548
