step,tag,value
0,train_loss,1.554245948791504
0,train_auc,0.8625284433364868
0,train_accuracy,0.44337210059165955
0,val_loss,1.5536048412322998
0,val_auc,0.865537703037262
0,val_accuracy,0.4481951892375946
1,train_loss,1.2447596788406372
1,train_auc,0.9125007390975952
1,train_accuracy,0.5878037810325623
1,val_loss,1.2452924251556396
1,val_auc,0.9136218428611755
1,val_accuracy,0.5882353186607361
2,train_loss,1.0873006582260132
2,train_auc,0.9326533675193787
2,train_accuracy,0.641856849193573
2,val_loss,1.0900083780288696
2,val_auc,0.9327541589736938
2,val_accuracy,0.6463903784751892
3,train_loss,0.9770971536636353
3,train_auc,0.9440916180610657
3,train_accuracy,0.6807202100753784
3,val_loss,0.9802696704864502
3,val_auc,0.9443435668945312
3,val_accuracy,0.6843248605728149
4,train_loss,0.8885422945022583
4,train_auc,0.9530933499336243
4,train_accuracy,0.7067834734916687
4,val_loss,0.9009080529212952
4,val_auc,0.9525206089019775
4,val_accuracy,0.7075534462928772
5,train_loss,0.8287797570228577
5,train_auc,0.9583294987678528
5,train_accuracy,0.726993203163147
5,val_loss,0.8407526016235352
5,val_auc,0.9575989246368408
5,val_accuracy,0.7267714142799377
6,train_loss,0.7667320370674133
6,train_auc,0.9638509750366211
6,train_accuracy,0.7470546960830688
6,val_loss,0.7783212661743164
6,val_auc,0.9632502198219299
6,val_accuracy,0.75
7,train_loss,0.7223899960517883
7,train_auc,0.9673916101455688
7,train_accuracy,0.7637262940406799
7,val_loss,0.7346287965774536
7,val_auc,0.9668818712234497
7,val_accuracy,0.7653743028640747
8,train_loss,0.6932950019836426
8,train_auc,0.9698682427406311
8,train_accuracy,0.7716545462608337
8,val_loss,0.7032461166381836
8,val_auc,0.9696153998374939
8,val_accuracy,0.771891713142395
9,train_loss,0.6695466041564941
9,train_auc,0.9714488387107849
9,train_accuracy,0.7797680497169495
9,val_loss,0.6786652207374573
9,val_auc,0.9711499214172363
9,val_accuracy,0.7780748605728149
